PULocationID,Zone,Borough,expected_net_earnings_per_hour,std_net_earnings_per_hour
49,Clinton Hill,Brooklyn,59.72140053390613,7.809714107108064
80,East Williamsburg,Brooklyn,59.56981075738972,8.02779713460934
254,Williamsbridge/Olinville,Bronx,59.42265243272472,7.495120835604015
189,Prospect Heights,Brooklyn,59.41505244768082,7.845166582667353
241,Van Cortlandt Village,Bronx,59.35057896240232,6.943710964438413
169,Mount Hope,Bronx,59.29188864748741,8.151272993258477
78,East Tremont,Bronx,59.22960367998365,7.770889810979043
18,Bedford Park,Bronx,59.19283710292415,7.595862070043575
213,Soundview/Castle Hill,Bronx,59.14625097732553,7.7715853350621
133,Kensington,Brooklyn,59.14075279499653,8.361566770430516
168,Mott Haven/Port Morris,Bronx,59.071674935981825,8.424484225499144
17,Bedford,Brooklyn,58.92884964902458,8.58258842576458
244,Washington Heights South,Manhattan,58.90118489995419,7.0502208996905695
47,Claremont/Bathgate,Bronx,58.79017734864347,8.569638047457026
159,Melrose South,Bronx,58.63711817216135,7.465517146576774
255,Williamsburg (North Side),Brooklyn,58.553744547601035,7.085770625591327
130,Jamaica,Queens,58.46624658643459,8.046979109981917
32,Bronxdale,Bronx,58.46179329093246,7.732048999900737
258,Woodhaven,Queens,58.43570740235343,7.600192929651976
88,Financial District South,Manhattan,58.32919640702523,5.754564683360186
131,Jamaica Estates,Queens,58.13373572264659,7.866903663675357
127,Inwood,Manhattan,58.0949460543824,5.917672629816862
33,Brooklyn Heights,Brooklyn,58.04947391468146,7.002299551117175
217,South Williamsburg,Brooklyn,57.88153823060667,7.365400978656023
106,Gowanus,Brooklyn,57.756449971513156,7.793498896974752
61,Crown Heights North,Brooklyn,57.72405208974772,7.458273523108029
12,Battery Park,Manhattan,57.69316025978811,6.124524028327146
174,Norwood,Bronx,57.63653392885262,7.351430866412167
45,Chinatown,Manhattan,57.63032255773289,6.8130904012862805
202,Roosevelt Island,Manhattan,57.61403585305241,9.223998913799406
218,Springfield Gardens North,Queens,57.595584521661,8.774960108288134
191,Queens Village,Queens,57.57746898766829,7.281464200981702
198,Ridgewood,Queens,57.49881553222568,7.598349141733761
108,Gravesend,Brooklyn,57.44080962340686,8.513170188753259
29,Brighton Beach,Brooklyn,57.303449672266176,7.803430429605055
55,Coney Island,Brooklyn,57.291717434801186,7.743962028583818
22,Bensonhurst West,Brooklyn,57.25600455271995,8.360883728223651
124,Howard Beach,Queens,57.20822666478709,8.305692700587064
121,Hillcrest/Pomonok,Queens,57.18158039596952,7.8939021112503465
225,Stuyvesant Heights,Brooklyn,57.12980542789582,8.477586200384845
205,Saint Albans,Queens,57.08603072916592,8.562228480982347
63,Cypress Hills,Brooklyn,57.02995520162696,8.283852582843426
35,Brownsville,Brooklyn,57.0253608052527,7.434378716009661
89,Flatbush/Ditmas Park,Brooklyn,56.90610535705806,8.765545456979263
85,Erasmus,Brooklyn,56.86436323149616,8.43411667133358
39,Canarsie,Brooklyn,56.862731108790214,7.864654779448194
227,Sunset Park East,Brooklyn,56.81705589088926,8.22723340187642
247,West Concourse,Bronx,56.76056627318619,7.623173317637448
117,Hammels/Arverne,Queens,56.744788544645836,8.086249900276416
95,Forest Hills,Queens,56.70548872472127,8.238062986309961
76,East New York,Brooklyn,56.5722358588353,9.066433082268444
188,Prospect-Lefferts Gardens,Brooklyn,56.46553280078524,7.748900249903312
40,Carroll Gardens,Brooklyn,56.29020267020902,8.501385297140477
210,Sheepshead Bay,Brooklyn,56.286492503356456,8.061883496032998
14,Bay Ridge,Brooklyn,56.2247466966498,7.713998269602647
72,East Flatbush/Remsen Village,Brooklyn,56.17381964130658,8.654471729645596
77,East New York/Pennsylvania Avenue,Brooklyn,56.156629404710344,7.8194634874967575
21,Bensonhurst East,Brooklyn,55.96282293197681,9.291872437063878
177,Ocean Hill,Brooklyn,55.95712981166142,8.385407988542422
37,Bushwick South,Brooklyn,55.93944562982062,8.111951597261164
71,East Flatbush/Farragut,Brooklyn,55.908380675898925,8.23408994646029
222,Starrett City,Brooklyn,55.876694817357,8.066385780494835
165,Midwood,Brooklyn,55.77721187405737,9.09206394474509
248,West Farms/Bronx River,Bronx,55.695340016989796,6.497694683302411
91,Flatlands,Brooklyn,55.57842806042521,8.11726412759493
112,Greenpoint,Brooklyn,55.42458209694925,8.000878935242387
149,Madison,Brooklyn,55.352195828352066,8.462239790588846
86,Far Rockaway,Queens,55.343423088419684,8.530113049232728
242,Van Nest/Morris Park,Bronx,55.3231488709905,7.243147181831807
155,Marine Park/Mill Basin,Brooklyn,55.31631957518518,8.613644257904756
62,Crown Heights South,Brooklyn,55.03716042734999,8.463898677031692
92,Flushing,Queens,54.879299796070484,8.131456268079539
228,Sunset Park West,Brooklyn,54.767583782009424,8.207393437720832
97,Fort Greene,Brooklyn,54.15310669689316,7.4147357495180275
181,Park Slope,Brooklyn,53.78735848745232,7.29068745689163
26,Borough Park,Brooklyn,53.441858903269946,8.765299530924242
25,Boerum Hill,Brooklyn,53.12871703030501,7.555608670628961
36,Bushwick North,Brooklyn,48.71055218200032,9.159752868988077
250,Westchester Village/Unionport,Bronx,48.57468535927721,7.9804738324641855
123,Homecrest,Brooklyn,48.44650987257271,7.496972939204561
220,Spuyten Duyvil/Kingsbridge,Bronx,43.71456436690531,7.103866912516243
